???????,???????,Name,???????????,
4025,???????,Non sila,Khon kean,
4029,?????????,Wiang Kao,,
4101,?????????????,Muang udonthani,udonthani,
4102,??????,kut chap,udonthani,
4103,?????????,Nong wua so,udonthani,
4104,????????,Kumphawapi,udonthani,
4105,????????,Non sa-at,udonthani,
4106,???????,Nong han,udonthani,
4107,??????,Thung fon,udonthani,
4108,??????,Chai wan,udonthani,
4109,???????,Si that,udonthani,
4110,?????????,Wang sam mo,udonthani,
4111,???????,Bang dung,udonthani,
4117,???????,Ban phu,udonthani,
4118,??????,Nam som,udonthani,
4119,????,Phen,udonthani,
4120,????????,Sang khom,udonthani,
4121,???????,Nong saeng,udonthani,
4122,?????,Na yung,udonthani,
4123,????????????,Pibunrak,udonthani,
4124,???????,Ku kaeo,udonthani,
4125,????????????????,Prachaksinlapakhom,udonthani,
4201,????????,Muang loei,loei,
4202,??????,Na duang,loei,
4203,????????,Chiang khan,loei,
4204,?????,Pak chom,loei,
4205,????????,Dan sai,loei,
4206,??????,Na haeo,loei,
4207,??????,Phu rua,loei,
4208,??????,Tha li,loei,
4209,????????,Wang saphung,loei,
4210,????????,Phu kadung,loei,
4211,??????,Phu luang,loei,
4212,?????,Pha Khao,loei,
4213,???????,Erawan,loei,
4214,???????,Nong hin,loei,
4301,????????????,Muang nongkhai,???????,
4302,??????,Tha bo,???????,
4305,????????,Phon phisai,???????,
4307,????????????,Si chiang mai,???????,
4308,?????,Sang kom,???????,
4314,???????,Sakhrai,???????,
4315,???????,Fao Rai,???????,
4316,????????,Ratana wapi,???????,
4317,????????,Pho tak,???????,
4401,??????????????,Muang mahasarakham,mahasarakham,
4402,????,Kae dam,mahasarakham,
4403,??????????,Kosum phisai,mahasarakham,
4404,??????????,Kantharawichai,mahasarakham,
4405,????????,Chiang yun,mahasarakham,
4406,?????,Borabu,mahasarakham,
4407,???????,Na chuak,mahasarakham,
4408,??????????????,Phayakhaphum phisai,mahasarakham,
4409,????????,Wapi pathum,mahasarakham,
4410,?????,Na dun,mahasarakham,
4411,??????????,Yang si surat,mahasarakham,
4412,??????,Kut rang,mahasarakham,
4413,??????,Chuenchom,mahasarakham,
4501,?????????????,Muang roi et,roi et,
4502,??????????,Kaset visai,roi et,
4503,?????????,Pathum rat,roi et,
4504,???????????????,Chaturaphak phiman,roi et,
4505,????????,Thawatshaburi,roi et,
4506,??????,Phanom phrai,roi et,
4507,??????,Phon thong,roi et,
4508,????????,IPho chai,roi et,
4509,???????,Nong phok,roi et,
4510,???????,Sela phum,roi et,
4511,??????????,Suwannaphum,roi et,
4512,?????????,Muangsuang,roi et,
4513,???????,Phon sai,roi et,
4514,?????????,At samat,roi et,
4515,??????,Moeiwadi,roi et,
4516,?????????,Srisomdet,roi et,
4517,??????,Jung han,roi et,
4518,?????????,Chiang khwan,roi et,
4519,??????,Nong hi,roi et,
4520,???????????,Thung kao luang,roi et,
4601,??????????????,Muang Kalasin,Kalasin,
4602,????,Na mon,Kalasin,
4603,???????,Kamalasai,Kalasin,
4604,??????,Rong kham,Kalasin,
4605,???????????,Kuchinarat,Kalasin,
4606,?????,Khao wong,Kalasin,
4607,???????,Yang talad,Kalasin,
4608,????????,Huai mek,Kalasin,
4609,?????????,Sahasakan,Kalasin,
4610,??????,Kham muang,Kalasin,
4611,????????,Tha khantho,Kalasin,
4612,??????????,Nong kung srin,Kalasin,
4613,??????,Somdet,Kalasin,
4614,????????,Huai phung,Kalasin,
4615,??????,Sam chai,Kalasin,
4616,????,Na ku,Kalasin,
4617,??????,Don jan,Kalasin,
4618,???????,Khong chai,Kalasin,
4701,???????????,Muang sakonnakhon,sakonnakhon,
4702,?????????,Kusuman,sakonnakhon,
4703,??????,Kot bak,sakonnakhon,
4704,?????????,Phanna nikhom,sakonnakhon,
4705,??????,Phang khon,sakonnakhon,
4706,?????????,Warit chaphum,sakonnakhon,
4707,??????????,Nikhomnamun,sakonnakhon,
4708,?????????,Wanon niwat,sakonnakhon,
4709,????????,Kham ta kla,sakonnakhon,
4710,????????,Ban muang,sakonnakhon,
4711,??????????,Akat Amnuai,sakonnakhon,
4712,???????????,Sawang daen din,sakonnakhon,
4713,???????,Song dao,sakonnakhon,
4714,???????,Tao ngoi,sakonnakhon,
4715,????????????,Khok si suphan,sakonnakhon,
4716,??????????,Charoen silp,sakonnakhon,
4717,?????????,Phon na kaeo,sakonnakhon,
4718,?????,Phu phan,sakonnakhon,
